Associated Gene Name	Ensembl Gene ID	Chromosome Name	Gene Start (bp)	Gene End (bp)	Strand	Band	Transcript count	Gene Biotype	Status (gene)
U6	ENSMUSG00000065132	3	123743297	123743403	-1	G1	1	snRNA	NOVEL
U1	ENSMUSG00000065865	1	117536301	117536464	1	E2.3	1	snRNA	NOVEL
AC221015.28	ENSMUSG00000096070	7	59754002	59754095	-1	B5	1	snoRNA	KNOWN
U7	ENSMUSG00000089483	7	18261464	18261526	-1	A3	1	snRNA	NOVEL
7SK	ENSMUSG00000089338	4	78670147	78670232	1	C3	1	misc_RNA	NOVEL
AL591584.1	ENSMUSG00000096635	2	163092899	163093023	1	H2	1	miRNA	NOVEL
SNORA17	ENSMUSG00000088307	7	35217235	35217360	1	B2	1	snoRNA	NOVEL
U6	ENSMUSG00000077598	6	96560761	96560864	-1	D3	1	snRNA	NOVEL
AC102469.1	ENSMUSG00000094979	1	10555554	10555660	-1	A2	1	snRNA	NOVEL
7SK	ENSMUSG00000089621	4	53720902	53721200	-1	B2	1	misc_RNA	NOVEL
SNORA17	ENSMUSG00000088443	6	124142185	124142294	1	F2	1	snoRNA	NOVEL
7SK	ENSMUSG00000089248	5	118211053	118211342	-1	F	1	misc_RNA	NOVEL
SNORA17	ENSMUSG00000088598	19	11607389	11607438	-1	A	1	snoRNA	NOVEL
CT033776.2	ENSMUSG00000094639	16	36386190	36386294	1	B3	1	snRNA	NOVEL
U7	ENSMUSG00000095939	15	63481214	63481276	-1	D1	1	snRNA	NOVEL
U3	ENSMUSG00000065870	10	40258467	40258678	1	B1	1	snoRNA	KNOWN
AL772216.16	ENSMUSG00000093900	2	10496497	10496583	1	A1	1	miRNA	KNOWN
7SK	ENSMUSG00000087902	3	82793656	82793897	-1	E3	1	misc_RNA	NOVEL
AL662894.1	ENSMUSG00000093210	11	68327768	68328083	1	B3	1	misc_RNA	NOVEL
mmu-mir-467b	ENSMUSG00000095509	2	10481248	10481320	1	A1	1	miRNA	KNOWN
Mir3073	ENSMUSG00000093090	12	112109238	112109322	1	F1	1	miRNA	KNOWN
Mir410	ENSMUSG00000065497	12	109743715	109743795	1	F1	1	miRNA	KNOWN
U7	ENSMUSG00000088501	18	34024220	34024280	-1	B1	1	snRNA	NOVEL
U6atac	ENSMUSG00000088672	10	127138529	127138617	-1	D3	1	snRNA	NOVEL
AC122357.1	ENSMUSG00000076246	13	62466865	62466971	1	B3	1	miRNA	NOVEL
5S_rRNA	ENSMUSG00000087836	15	30590287	30590405	1	B2	1	rRNA	NOVEL
Mir323	ENSMUSG00000065617	12	109712508	109712593	1	F1	1	miRNA	KNOWN
snoU83B	ENSMUSG00000088219	15	80080251	80080343	-1	E1	1	snoRNA	NOVEL
Snora69	ENSMUSG00000065642	X	37082912	37083042	-1	A3.3	1	snoRNA	KNOWN
SNORA40	ENSMUSG00000087747	1	171308047	171308137	1	H3	1	snoRNA	NOVEL
SCARNA18	ENSMUSG00000089625	19	11695267	11695342	1	A	1	snoRNA	NOVEL
AC141881.48	ENSMUSG00000096785	8	123589654	123589772	-1	E1	1	rRNA	NOVEL
AL807401.1	ENSMUSG00000080419	X	128522689	128522809	-1	E3	1	miRNA	NOVEL
AC122376.1	ENSMUSG00000093216	7	36430611	36430700	1	B2	1	miRNA	NOVEL
U6	ENSMUSG00000096163	12	13490509	13490615	-1	A1.1	1	snRNA	NOVEL
U6	ENSMUSG00000064510	3	157365998	157366104	1	H4	1	snRNA	NOVEL
AL807811.2	ENSMUSG00000096325	4	139323354	139323424	1	D3	1	miRNA	NOVEL
CPEB3_ribozyme	ENSMUSG00000080544	19	37149085	37149162	-1	C2	1	misc_RNA	NOVEL
U6	ENSMUSG00000088830	15	52496885	52496988	1	C	1	snRNA	NOVEL
7SK	ENSMUSG00000088531	8	64907165	64907265	1	B3.1	1	misc_RNA	NOVEL
AL772216.17	ENSMUSG00000093914	2	10497548	10497668	1	A1	1	miRNA	NOVEL
AC105169.1	ENSMUSG00000093468	10	53220375	53220456	-1	B3	1	miRNA	NOVEL
AC146595.1	ENSMUSG00000094390	17	82235877	82235978	1	E3	1	miRNA	NOVEL
AC155640.2	ENSMUSG00000095012	10	60241709	60241799	1	B4	1	miRNA	NOVEL
AC158900.1	ENSMUSG00000094875	5	126389548	126389654	-1	G1.1	1	snRNA	NOVEL
SNORD88	ENSMUSG00000080683	7	44250450	44250542	1	B3	1	snoRNA	NOVEL
SNORA2	ENSMUSG00000064597	15	58041516	58041651	-1	D1	1	snoRNA	NOVEL
AC161111.1	ENSMUSG00000080596	15	17591566	17591681	-1	A2	1	miRNA	NOVEL
7SK	ENSMUSG00000084475	16	8449498	8449786	-1	A1	1	misc_RNA	NOVEL
Mir5112	ENSMUSG00000092638	18	82720281	82720340	1	E3	1	miRNA	KNOWN
Mir1249	ENSMUSG00000080441	15	84951526	84951623	-1	E2	1	miRNA	KNOWN
SNORA17	ENSMUSG00000088829	1	15685935	15686046	-1	A3	1	snoRNA	NOVEL
U4	ENSMUSG00000088555	7	45875547	45875631	-1	B3	1	snRNA	NOVEL
SNORA17	ENSMUSG00000077782	1	79513739	79513864	-1	C4	1	snoRNA	NOVEL
7SK	ENSMUSG00000087774	10	70501192	70501503	-1	B5.3	1	misc_RNA	NOVEL
U6	ENSMUSG00000087832	X	138422715	138422819	-1	F1	1	snRNA	NOVEL
AC123043.1	ENSMUSG00000084423	13	94517162	94517275	1	C3	1	miRNA	NOVEL
U6	ENSMUSG00000087714	4	108521924	108522030	-1	C7	1	snRNA	NOVEL
U6	ENSMUSG00000084653	3	104601158	104601239	-1	F2.2	1	snRNA	NOVEL
U6	ENSMUSG00000077793	Y	1308273	1308377	-1	A1	1	snRNA	NOVEL
AC127677.1	ENSMUSG00000088641	8	12666095	12666198	1	A1.1	1	miRNA	NOVEL
SNORA63	ENSMUSG00000064724	6	97547438	97547567	-1	D3	1	snoRNA	NOVEL
SNORA11	ENSMUSG00000080582	X	150807859	150807986	-1	F3	1	snoRNA	NOVEL
n-R5s88	ENSMUSG00000065107	9	102127888	102128005	1	F1	1	rRNA	KNOWN
SNORA17	ENSMUSG00000077539	10	11648005	11648134	1	A1	1	snoRNA	NOVEL
7SK	ENSMUSG00000088581	17	69594539	69594777	-1	E1.3	1	misc_RNA	NOVEL
SNORA61	ENSMUSG00000089041	14	101283067	101283202	1	E2.3	1	snoRNA	NOVEL
SNORD77	ENSMUSG00000065735	1	161037601	161037681	1	H2.1	1	snoRNA	NOVEL
Mir19b-1	ENSMUSG00000076256	14	115044305	115044391	1	E4	1	miRNA	KNOWN
Snora33	ENSMUSG00000070063	10	23785347	23785475	-1	A4	1	snoRNA	KNOWN
AC129176.1	ENSMUSG00000096181	7	39283976	39284080	1	B3	1	snRNA	NOVEL
7SK	ENSMUSG00000088660	7	127046112	127046357	1	F3	1	misc_RNA	NOVEL
SNORA17	ENSMUSG00000077477	8	111418732	111418863	1	E1	1	snoRNA	NOVEL
AC168073.46	ENSMUSG00000096447	7	59538998	59539076	-1	B5	1	snoRNA	NOVEL
AC168073.36	ENSMUSG00000096067	7	59544615	59544693	-1	B5	1	snoRNA	NOVEL
SNORA29	ENSMUSG00000065061	11	55482694	55482833	1	B1.3	1	snoRNA	KNOWN
AL928544.1	ENSMUSG00000076233	2	103843418	103843513	-1	E2	1	miRNA	NOVEL
Mir2861	ENSMUSG00000093280	2	32712807	32712888	-1	B	1	miRNA	KNOWN
AC139884.1	ENSMUSG00000095489	6	13549506	13549612	1	A1	1	snRNA	KNOWN
SNORD113	ENSMUSG00000064452	12	109631074	109631148	1	F1	1	snoRNA	NOVEL
SNORA4	ENSMUSG00000065346	9	95624502	95624611	1	E3.3	1	snoRNA	NOVEL
AC238840.2	ENSMUSG00000094419	7	38792638	38792744	1	B3	1	snRNA	NOVEL
n-R5s156	ENSMUSG00000065311	7	99497718	99497822	1	E1	1	rRNA	KNOWN
U6	ENSMUSG00000084417	2	157726000	157726098	1	H1	1	snRNA	NOVEL
U6	ENSMUSG00000087718	10	110904795	110904900	-1	D1	1	snRNA	NOVEL
U6	ENSMUSG00000065080	8	122520568	122520674	-1	E1	1	snRNA	NOVEL
AC162877.1	ENSMUSG00000080367	7	103415806	103415926	1	E3	1	miRNA	NOVEL
AC133891.1	ENSMUSG00000080561	1	165024345	165024456	1	H2.2	1	miRNA	NOVEL
Mir541	ENSMUSG00000076052	12	109742409	109742498	1	F1	1	miRNA	KNOWN
AC121819.1	ENSMUSG00000093475	8	123024695	123024754	1	E1	1	miRNA	NOVEL
5S_rRNA	ENSMUSG00000088671	7	113119698	113119808	1	F1	1	rRNA	NOVEL
SNORA17	ENSMUSG00000077687	4	109537039	109537169	1	C7	1	snoRNA	NOVEL
AC172750.15	ENSMUSG00000096190	7	59884499	59884592	-1	B5	1	snoRNA	KNOWN
SNORA14	ENSMUSG00000065637	8	126944847	126944980	-1	E2	1	snoRNA	NOVEL
AC171272.3	ENSMUSG00000093958	7	59507198	59507276	-1	B5	1	snoRNA	NOVEL
U4	ENSMUSG00000084676	12	46902001	46902082	-1	B3	1	snRNA	NOVEL
AC115121.2	ENSMUSG00000096298	19	13604999	13605107	-1	A	1	miRNA	NOVEL
U6	ENSMUSG00000065747	X	88192617	88192723	1	C1	1	snRNA	NOVEL
AC091333.4	ENSMUSG00000095292	7	61726249	61726328	-1	C	1	miRNA	KNOWN
SNORA70	ENSMUSG00000088420	8	18932989	18933091	1	A1.3	1	snoRNA	NOVEL
Mir686	ENSMUSG00000076128	14	54616677	54616785	-1	C2	1	miRNA	KNOWN
U6	ENSMUSG00000095305	10	31163526	31163632	-1	A4	1	snRNA	NOVEL
AC132606.1	ENSMUSG00000092902	8	80721352	80721477	1	C2	1	miRNA	NOVEL
U6	ENSMUSG00000088596	8	102523894	102523956	1	D1	1	snRNA	NOVEL
U6	ENSMUSG00000064532	7	122265094	122265200	1	F2	1	snRNA	NOVEL
mmu-mir-1194	ENSMUSG00000093807	14	42624917	42625037	-1	B	1	miRNA	KNOWN
Mir369	ENSMUSG00000065561	12	109743418	109743496	1	F1	1	miRNA	KNOWN
SNORA17	ENSMUSG00000077630	12	82772321	82772456	-1	D1	1	snoRNA	NOVEL
AC102745.1	ENSMUSG00000096849	17	15837549	15837655	-1	A2	1	snRNA	NOVEL
SNORA17	ENSMUSG00000088104	9	24351118	24351212	1	A4	1	snoRNA	NOVEL
RNaseP_nuc	ENSMUSG00000088383	X	152868620	152868860	1	F3	1	misc_RNA	NOVEL
U6	ENSMUSG00000089612	2	181425935	181426037	-1	H4	1	snRNA	NOVEL
Mir3472	ENSMUSG00000092917	X	145039344	145039414	1	F2	1	miRNA	KNOWN
Scarna17	ENSMUSG00000088689	18	74778391	74778469	-1	E2	1	snoRNA	KNOWN
n-R5s74	ENSMUSG00000064588	11	116326602	116326717	-1	E2	1	rRNA	KNOWN
n-R5s188	ENSMUSG00000084595	4	82439410	82439514	1	C3	1	rRNA	KNOWN
U6	ENSMUSG00000064624	8	86671236	86671343	-1	C3	1	snRNA	NOVEL
SNORD113	ENSMUSG00000089517	12	109641022	109641094	1	F1	1	snoRNA	NOVEL
AL672259.1	ENSMUSG00000077990	2	157562361	157562447	-1	H1	1	miRNA	NOVEL
AC134325.1	ENSMUSG00000095995	5	12155104	12155174	1	A1	1	miRNA	NOVEL
AC171917.1	ENSMUSG00000093276	8	72684314	72684438	1	B3.3	1	miRNA	NOVEL
AL772216.25	ENSMUSG00000094190	2	10480365	10480485	1	A1	1	miRNA	NOVEL
AC168073.9	ENSMUSG00000094438	7	59568964	59569042	-1	B5	1	snoRNA	NOVEL
SNORA2	ENSMUSG00000064961	2	168335700	168335836	1	H3	1	snoRNA	NOVEL
BX000694.1	ENSMUSG00000092863	4	137584085	137584356	-1	D3	1	misc_RNA	NOVEL
AC138605.1	ENSMUSG00000094726	16	82543229	82543335	1	C3.3	1	snRNA	NOVEL
Mir192	ENSMUSG00000065523	19	6264844	6264932	1	A	1	miRNA	KNOWN
5S_rRNA	ENSMUSG00000088666	1	73763710	73763835	1	C3	1	rRNA	NOVEL
U6	ENSMUSG00000064843	19	25453960	25454063	-1	B	1	snRNA	NOVEL
U7	ENSMUSG00000089420	1	3783737	3783798	-1	A1	1	snRNA	NOVEL
U6	ENSMUSG00000096331	6	130146881	130146954	1	F3	1	snRNA	NOVEL
SNORD63	ENSMUSG00000089239	18	34941234	34941300	-1	B1	1	snoRNA	NOVEL
AC099605.1	ENSMUSG00000094137	18	43070300	43070406	-1	B3	1	snRNA	NOVEL
U7	ENSMUSG00000088640	7	55702154	55702215	1	B5	1	snRNA	NOVEL
U7	ENSMUSG00000089091	6	103832513	103832578	-1	E1	1	snRNA	NOVEL
SNORA17	ENSMUSG00000077377	1	15757832	15757963	1	A3	1	snoRNA	NOVEL
7SK	ENSMUSG00000089251	3	43925569	43925864	1	B	1	misc_RNA	NOVEL
U6	ENSMUSG00000096689	15	68671416	68671522	1	D2	1	snRNA	NOVEL
SNORD115	ENSMUSG00000075968	7	59555854	59555932	-1	B5	1	snoRNA	NOVEL
AC221015.13	ENSMUSG00000094994	7	59748956	59749049	-1	B5	1	snoRNA	NOVEL
SNORA17	ENSMUSG00000077312	4	73589082	73589214	-1	C3	1	snoRNA	NOVEL
5S_rRNA	ENSMUSG00000089405	14	75745849	75745940	-1	D3	1	rRNA	NOVEL
7SK	ENSMUSG00000089146	10	94948590	94948893	1	C2	1	misc_RNA	NOVEL
5S_rRNA	ENSMUSG00000088631	11	83764638	83764747	-1	C	1	rRNA	NOVEL
U6	ENSMUSG00000088721	6	63200041	63200152	-1	C1	1	snRNA	NOVEL
Snord82	ENSMUSG00000064823	1	86356261	86356330	-1	C5	1	snoRNA	KNOWN
SNORA17	ENSMUSG00000077642	10	72527550	72527682	1	B5.3	1	snoRNA	NOVEL
7SK	ENSMUSG00000088177	6	127849221	127849519	1	F3	1	misc_RNA	NOVEL
U6	ENSMUSG00000088437	11	54458162	54458269	1	B1.3	1	snRNA	NOVEL
AC126694.1	ENSMUSG00000096415	17	84391429	84391535	1	E4	1	snRNA	KNOWN
Mir103-1	ENSMUSG00000065553	11	35782396	35782481	1	A4	1	miRNA	KNOWN
Mir763	ENSMUSG00000076448	10	120447991	120448110	-1	D2	1	miRNA	KNOWN
U7	ENSMUSG00000088237	7	108120470	108120527	-1	E3	1	snRNA	NOVEL
U4	ENSMUSG00000084748	18	12163438	12163556	1	A1	1	snRNA	NOVEL
U7	ENSMUSG00000089468	12	95085887	95085948	-1	D3	1	snRNA	NOVEL
U6	ENSMUSG00000088344	8	85315140	85315246	1	C3	1	snRNA	NOVEL
AC141881.36	ENSMUSG00000096132	8	123571001	123571119	-1	E1	1	rRNA	NOVEL
Mir2136	ENSMUSG00000089406	9	104426113	104426187	1	F1	1	miRNA	KNOWN
SNORA71	ENSMUSG00000064569	3	108034026	108034156	1	F2.3	1	snoRNA	NOVEL
AC120540.1	ENSMUSG00000080496	12	87407279	87407368	1	D2	1	miRNA	NOVEL
AC122270.1	ENSMUSG00000077964	17	22449696	22449796	1	A3.3	1	miRNA	NOVEL
AC098743.1	ENSMUSG00000092906	1	51015313	51015413	1	C1.1	1	miRNA	NOVEL
AC154667.1	ENSMUSG00000096434	16	17205792	17205898	-1	A3	1	snRNA	NOVEL
Mir379	ENSMUSG00000065498	12	109709025	109709147	1	F1	1	miRNA	KNOWN
U6	ENSMUSG00000087951	16	17006107	17006201	-1	A3	1	snRNA	NOVEL
SNORA68	ENSMUSG00000077380	13	95332618	95332749	1	D1	1	snoRNA	NOVEL
U1	ENSMUSG00000064551	X	116345732	116345895	1	E1	1	snRNA	NOVEL
Mir680-3	ENSMUSG00000076253	12	35194811	35194897	-1	A3	1	miRNA	KNOWN
SNORA17	ENSMUSG00000088145	1	159983496	159983605	-1	H1	1	snoRNA	NOVEL
U6	ENSMUSG00000089102	19	41975188	41975286	1	C3	1	snRNA	NOVEL
Mir186	ENSMUSG00000065431	3	157544279	157544349	1	H4	1	miRNA	KNOWN
U6	ENSMUSG00000065322	4	45548743	45548849	1	B1	1	snRNA	NOVEL
Mir149	ENSMUSG00000065470	1	92850378	92850443	1	D	1	miRNA	KNOWN
AC168073.5	ENSMUSG00000094129	7	59583934	59584012	-1	B5	1	snoRNA	NOVEL
AC142212.1	ENSMUSG00000092903	6	57565807	57566109	-1	B3	1	misc_RNA	NOVEL
SNORA17	ENSMUSG00000088888	7	102734582	102734714	-1	E3	1	snoRNA	NOVEL
U6	ENSMUSG00000064743	11	93413218	93413324	-1	D	1	snRNA	NOVEL
Mir130b	ENSMUSG00000065572	16	17124061	17124142	-1	A3	1	miRNA	KNOWN
7SK	ENSMUSG00000089227	12	46832559	46832807	-1	B3	1	misc_RNA	NOVEL
U6	ENSMUSG00000088708	9	50887950	50888055	1	A5.3	1	snRNA	NOVEL
AC153968.1	ENSMUSG00000094008	10	30942379	30942485	-1	A4	1	snRNA	NOVEL
AC141881.16	ENSMUSG00000094916	8	123593071	123593189	-1	E1	1	rRNA	KNOWN
Mir293	ENSMUSG00000078035	7	3220343	3220422	1	A1	1	miRNA	KNOWN
U6	ENSMUSG00000087710	17	86703298	86703407	-1	E4	1	snRNA	NOVEL
Mir221	ENSMUSG00000065422	X	19146294	19146388	-1	A1.3	1	miRNA	KNOWN
U6	ENSMUSG00000089381	4	120903460	120903563	1	D2.2	1	snRNA	NOVEL
AL671914.1	ENSMUSG00000092800	X	136142984	136143228	-1	F1	1	misc_RNA	NOVEL
SNORA70	ENSMUSG00000088688	11	6546147	6546235	-1	A1	1	snoRNA	NOVEL
AC124134.1	ENSMUSG00000093053	12	7741553	7741622	-1	A1.1	1	miRNA	NOVEL
AL732564.1	ENSMUSG00000093188	2	31625705	31625956	1	B	1	misc_RNA	NOVEL
AL591712.1	ENSMUSG00000092942	2	165809581	165809880	-1	H3	1	misc_RNA	NOVEL
SNORA17	ENSMUSG00000077618	13	11426779	11426898	-1	A1	1	snoRNA	NOVEL
SNORA24	ENSMUSG00000065634	19	25166085	25166216	-1	B	1	snoRNA	NOVEL
U6	ENSMUSG00000088016	3	104092381	104092482	1	F2.2	1	snRNA	NOVEL
AC153147.1	ENSMUSG00000080443	12	87034766	87034861	1	D2	1	miRNA	NOVEL
Mir188	ENSMUSG00000065398	X	7247989	7248056	-1	A1.1	1	miRNA	KNOWN
U6	ENSMUSG00000089168	15	102456563	102456661	1	F3	1	snRNA	NOVEL
Mir345	ENSMUSG00000065429	12	108836973	108837068	1	F1	1	miRNA	KNOWN
n-R5s41	ENSMUSG00000064959	15	82342653	82342771	1	E1	1	rRNA	KNOWN
SNORD121A	ENSMUSG00000089265	4	41203057	41203133	-1	A5	1	snoRNA	NOVEL
AC171272.23	ENSMUSG00000095997	7	59494300	59494378	-1	B5	1	snoRNA	NOVEL
U6	ENSMUSG00000065320	5	113928724	113928804	-1	F	1	snRNA	NOVEL
AC122925.1	ENSMUSG00000092657	1	53443271	53443395	-1	C1.1	1	miRNA	NOVEL
SCARNA6	ENSMUSG00000087968	1	87776938	87777209	1	D	1	snoRNA	NOVEL
SNORA71	ENSMUSG00000088731	9	24964536	24964669	1	A4	1	snoRNA	NOVEL
Y_RNA	ENSMUSG00000077588	18	21302198	21302307	1	A2	1	misc_RNA	NOVEL
SNORA17	ENSMUSG00000077237	1	107892974	107893105	1	E2.1	1	snoRNA	NOVEL
SCARNA21	ENSMUSG00000089210	11	19693155	19693298	-1	A3.1	1	snoRNA	NOVEL
n-R5s155	ENSMUSG00000084480	7	90293734	90293846	1	E1	1	rRNA	KNOWN
AC101752.1	ENSMUSG00000095282	1	67616975	67617052	1	C3	1	miRNA	NOVEL
7SK	ENSMUSG00000087759	3	100738452	100738713	-1	F2.2	1	misc_RNA	NOVEL
AC169674.16	ENSMUSG00000094565	7	59414091	59414169	-1	B5	1	snoRNA	NOVEL
SNORA17	ENSMUSG00000089024	10	25266045	25266175	-1	A4	1	snoRNA	NOVEL
SNORA17	ENSMUSG00000089037	1	109623008	109623137	-1	E2.1	1	snoRNA	NOVEL
AC154229.1	ENSMUSG00000095018	17	25031115	25031240	1	A3.3	1	miRNA	NOVEL
SNORA5	ENSMUSG00000095507	8	21703175	21703266	-1	A2	1	snoRNA	NOVEL
U2	ENSMUSG00000084606	2	5259929	5260115	-1	A1	1	snRNA	NOVEL
Mir1907	ENSMUSG00000084458	15	50889025	50889114	-1	C	1	miRNA	KNOWN
U6	ENSMUSG00000077421	8	121830436	121830542	1	E1	1	snRNA	NOVEL
U6	ENSMUSG00000064818	X	154711258	154711365	1	F3	1	snRNA	NOVEL
U1	ENSMUSG00000088854	11	95921102	95921226	1	D	1	snRNA	NOVEL
AL671630.1	ENSMUSG00000094387	X	147812371	147812460	-1	F2	1	snoRNA	NOVEL
SNORA48	ENSMUSG00000088056	9	35144636	35144779	1	A4	1	snoRNA	NOVEL
7SK	ENSMUSG00000084582	6	88405977	88406301	1	D1	1	misc_RNA	NOVEL
SNORA17	ENSMUSG00000088984	4	126860980	126861112	-1	D2.2	1	snoRNA	NOVEL
SNORA17	ENSMUSG00000077738	4	39295463	39295588	1	A5	1	snoRNA	NOVEL
U6	ENSMUSG00000088832	6	65864171	65864276	-1	C1	1	snRNA	NOVEL
BX001010.2	ENSMUSG00000096590	X	149805215	149805304	-1	F3	1	snoRNA	NOVEL
Mir1906-1	ENSMUSG00000084535	12	109544541	109544620	1	F1	1	miRNA	KNOWN
SNORA17	ENSMUSG00000089178	16	65170041	65170170	-1	C1.3	1	snoRNA	NOVEL
SNORA73	ENSMUSG00000065181	10	12368623	12368832	1	A1	1	snoRNA	NOVEL
AC122296.1	ENSMUSG00000096570	6	67247919	67247989	-1	C1	1	miRNA	NOVEL
SNORA17	ENSMUSG00000087742	3	27108982	27109095	1	A3	1	snoRNA	NOVEL
U6	ENSMUSG00000064728	X	58357952	58358058	-1	A6	1	snRNA	NOVEL
AC163349.1	ENSMUSG00000093226	3	80692203	80692313	-1	E3	1	miRNA	NOVEL
AL805972.1	ENSMUSG00000092753	4	58938025	58938109	1	B3	1	rRNA	NOVEL
7SK	ENSMUSG00000084622	10	75442620	75442942	1	C1	1	misc_RNA	NOVEL
Scarna9	ENSMUSG00000077506	9	15326264	15326333	-1	A2	1	snoRNA	KNOWN
AF357425	ENSMUSG00000088294	12	109636012	109636084	1	F1	1	snoRNA	KNOWN
U3	ENSMUSG00000088681	X	76146570	76146658	1	A7.3	1	snoRNA	NOVEL
Mir466b-3	ENSMUSG00000076994	2	10503565	10503645	1	A1	1	miRNA	KNOWN
U6	ENSMUSG00000089107	13	43872802	43872909	1	A4	1	snRNA	NOVEL
7SK	ENSMUSG00000065911	15	93234363	93234700	1	E3	1	misc_RNA	NOVEL
U6	ENSMUSG00000089062	5	99928283	99928381	-1	E4	1	snRNA	KNOWN
U6	ENSMUSG00000064626	2	37282051	37282157	1	B	1	snRNA	NOVEL
SNORD121A	ENSMUSG00000089308	4	41211502	41211582	-1	A5	1	snoRNA	NOVEL
Y_RNA	ENSMUSG00000070235	15	78369248	78369357	1	E1	1	misc_RNA	NOVEL
U6	ENSMUSG00000095319	16	36359218	36359322	1	B3	1	snRNA	NOVEL
AC127377.1	ENSMUSG00000095712	3	88970623	88970729	-1	F1	1	snRNA	NOVEL
U6	ENSMUSG00000088928	2	53274736	53274841	-1	C1.1	1	snRNA	NOVEL
U6	ENSMUSG00000096021	13	115116127	115116233	1	D2.2	1	snRNA	NOVEL
AC156022.1	ENSMUSG00000095290	5	8203866	8203975	-1	A1	1	miRNA	NOVEL
Mir598	ENSMUSG00000076049	14	63727189	63727267	1	D1	1	miRNA	KNOWN
U6	ENSMUSG00000095584	13	16041046	16041152	-1	A1	1	snRNA	NOVEL
CT010465.1	ENSMUSG00000076407	13	7120394	7120503	-1	A1	1	miRNA	NOVEL
SNORD91	ENSMUSG00000077637	11	74906109	74906199	1	B5	1	snoRNA	NOVEL
AC154909.1	ENSMUSG00000092632	8	60854225	60854295	-1	B3.1	1	miRNA	NOVEL
Snord65	ENSMUSG00000077457	11	62604515	62604586	1	B2	1	snoRNA	KNOWN
AC161829.1	ENSMUSG00000093189	10	5036175	5036456	-1	A1	1	misc_RNA	NOVEL
SNORA61	ENSMUSG00000064850	4	93545150	93545277	-1	C5	1	snoRNA	NOVEL
Mir1198	ENSMUSG00000080645	X	7807101	7807221	1	A1.1	1	miRNA	KNOWN
5S_rRNA	ENSMUSG00000088193	17	83947588	83947696	1	E4	1	rRNA	NOVEL
AC163666.1	ENSMUSG00000095772	9	88598348	88598419	-1	E3.1	1	snoRNA	NOVEL
AC169674.42	ENSMUSG00000096328	7	59423055	59423133	-1	B5	1	snoRNA	NOVEL
U1	ENSMUSG00000087760	15	23646420	23646577	-1	A2	1	snRNA	NOVEL
U4	ENSMUSG00000065193	14	106261123	106261253	-1	E2.3	1	snRNA	NOVEL
U6	ENSMUSG00000064834	3	35735373	35735477	1	B	1	snRNA	NOVEL
SNORA17	ENSMUSG00000077208	9	97439501	97439627	-1	E3.3	1	snoRNA	NOVEL
SNORA17	ENSMUSG00000077595	16	58751478	58751596	-1	C1.2	1	snoRNA	NOVEL
AC117700.1	ENSMUSG00000093831	15	88835300	88835406	1	E3	1	snRNA	NOVEL
U4	ENSMUSG00000084703	9	88526679	88526794	-1	E3.1	1	snRNA	NOVEL
Mir669o	ENSMUSG00000077086	2	10514300	10514395	1	A1	1	miRNA	KNOWN
5S_rRNA	ENSMUSG00000096047	1	46374197	46374315	1	C1.1	1	rRNA	NOVEL
Mir692-1	ENSMUSG00000076218	17	6895229	6895337	-1	A1	1	miRNA	KNOWN
AC141881.25	ENSMUSG00000095449	8	123559201	123559319	-1	E1	1	rRNA	NOVEL
AL671492.1	ENSMUSG00000093792	X	11830122	11830198	1	A1.1	1	miRNA	NOVEL
U6	ENSMUSG00000064686	16	22224244	22224351	1	B1	1	snRNA	NOVEL
U6	ENSMUSG00000065299	4	108498044	108498146	1	C7	1	snRNA	NOVEL
SNORA17	ENSMUSG00000089262	6	85150336	85150451	1	C3	1	snoRNA	NOVEL
SNORA17	ENSMUSG00000077796	9	52291199	52291331	1	A5.3	1	snoRNA	NOVEL
AC125484.1	ENSMUSG00000092884	13	9054609	9054679	-1	A1	1	miRNA	NOVEL
n-R5s13	ENSMUSG00000070219	X	151777671	151777789	1	F3	1	rRNA	KNOWN
AC169674.11	ENSMUSG00000094476	7	59351409	59351487	-1	B5	1	snoRNA	NOVEL
U1	ENSMUSG00000065017	6	97572076	97572238	-1	D3	1	snRNA	NOVEL
U2	ENSMUSG00000088152	3	58978855	58979026	-1	D	1	snRNA	NOVEL
Mir5111	ENSMUSG00000092691	2	157133906	157133972	-1	H1	1	miRNA	KNOWN
7SK	ENSMUSG00000089217	X	50022621	50022915	1	A5	1	misc_RNA	NOVEL
Mir490	ENSMUSG00000070075	6	36421742	36421825	1	B1	1	miRNA	KNOWN
U1	ENSMUSG00000087808	6	35243595	35243750	1	B1	1	snRNA	NOVEL
SNORA17	ENSMUSG00000077400	9	92527578	92527708	-1	E3.3	1	snoRNA	NOVEL
SNORA73	ENSMUSG00000065726	15	30052379	30052556	-1	B2	1	snoRNA	NOVEL
AC221015.2	ENSMUSG00000093869	7	59781780	59781873	-1	B5	1	snoRNA	NOVEL
AC111074.1	ENSMUSG00000077039	1	100861793	100861901	1	E1.1	1	miRNA	NOVEL
Snord45b	ENSMUSG00000064731	3	153910563	153910633	-1	H3	1	snoRNA	KNOWN
U6atac	ENSMUSG00000089136	12	32999909	33000010	-1	A3	1	snRNA	NOVEL
AL669940.1	ENSMUSG00000093374	4	110439690	110439770	-1	C7	1	miRNA	NOVEL
U6	ENSMUSG00000064391	6	65989640	65989739	-1	C1	1	snRNA	NOVEL
